                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.35191,                0.52127,                0.24756,                0.93696,                0.99165,                0.95311,                0.97822,                0.97059,                0.99165,                0.95311,                0.97822,                0.96447,                0.19103,                0.47322,                0.16359,                0.97102,               0.007624,               0.007624,               0.007624
                     26,                0.35192,                0.51767,                0.24696,                0.93822,                0.98767,                0.96095,                0.97948,                0.97006,                0.98767,                0.96095,                0.97948,                0.96603,                0.17604,                0.50346,                0.16196,                0.97377,               0.007525,               0.007525,               0.007525
                     27,                0.34766,                 0.5067,                0.24276,                0.93789,                0.98989,                0.96133,                0.98023,                0.97337,                0.98989,                0.96133,                0.98023,                0.96896,                0.16536,                  0.498,                0.15482,                0.96524,               0.007426,               0.007426,               0.007426
                     28,                0.34584,                0.51713,                0.24113,                0.93797,                0.98989,                0.96055,                0.97757,                0.96894,                0.98876,                0.95946,                0.97693,                0.96654,                0.17997,                0.44387,                0.16319,                0.98753,               0.007327,               0.007327,               0.007327
                     29,                0.34072,                0.49421,                0.23717,                0.93276,                0.98649,                0.95574,                0.97826,                0.97095,                0.98991,                0.94984,                0.97754,                0.96728,                0.17373,                0.47981,                0.16526,                0.97688,               0.007228,               0.007228,               0.007228
                     30,                 0.3378,                0.50758,                0.23581,                0.93097,                0.98927,                0.95856,                0.97898,                0.97233,                0.98927,                0.95856,                0.97898,                0.96803,                 0.1635,                0.51736,                0.16503,                0.97363,               0.007129,               0.007129,               0.007129
                     31,                0.33406,                0.48094,                0.23137,                0.93313,                0.98768,                0.96184,                0.97946,                0.97102,                0.98768,                0.96184,                0.97946,                0.96751,                0.17259,                 0.4943,                0.15438,                0.97498,                0.00703,                0.00703,                0.00703
                     32,                0.33167,                0.49266,                0.23123,                0.92459,                0.99095,                0.95524,                0.98002,                0.97342,                0.99095,                0.95524,                0.98002,                0.96859,                0.16742,                0.46797,                0.16201,                0.96738,               0.006931,               0.006931,               0.006931
                     33,                 0.3311,                0.50258,                0.22663,                0.92814,                0.98876,                0.95973,                0.97785,                0.97072,                0.98876,                0.95973,                0.97785,                 0.9672,                 0.1558,                 0.4826,                0.13672,                0.96439,               0.006832,               0.006832,               0.006832
                     34,                 0.3289,                0.49589,                0.22679,                0.92737,                0.98991,                 0.9626,                0.97894,                0.97193,                0.98989,                0.96065,                0.97838,                0.96797,                0.16589,                0.47198,                0.14551,                0.96295,               0.006733,               0.006733,               0.006733
                     35,                0.32747,                0.47617,                0.22181,                 0.9231,                0.98824,                 0.9651,                 0.9799,                 0.9726,                0.98824,                 0.9651,                 0.9799,                0.96909,                0.16448,                 0.5083,                0.15224,                0.96395,               0.006634,               0.006634,               0.006634
                     36,                0.32425,                0.49546,                0.22084,                 0.9242,                0.98811,                0.95965,                0.97866,                0.97182,                0.98811,                0.95965,                0.97866,                0.96833,                 0.1529,                0.48866,                0.14318,                0.95874,               0.006535,               0.006535,               0.006535
                     37,                 0.3288,                 0.5007,                0.22325,                0.92741,                0.98916,                 0.9651,                0.98074,                0.97428,                0.98916,                 0.9651,                0.98074,                0.97087,                0.14948,                0.49352,                0.13538,                0.95651,               0.006436,               0.006436,               0.006436
                     38,                 0.3248,                0.48716,                0.22077,                0.92234,                0.98986,                0.95799,                0.97863,                0.97229,                0.98986,                0.95799,                0.97863,                0.96875,                0.15465,                0.51947,                0.14374,                0.95575,               0.006337,               0.006337,               0.006337
                     39,                0.32374,                0.48078,                0.22008,                0.92336,                0.98194,                0.94878,                0.97785,                0.96833,                0.98194,                0.94878,                0.97785,                0.96596,                0.15993,                0.50503,                0.18221,                0.96371,               0.006238,               0.006238,               0.006238
                     40,                0.32328,                0.46761,                0.22104,                0.92392,                0.98553,                 0.9657,                0.97946,                0.97271,                0.98442,                0.96461,                0.97884,                0.96894,                0.15045,                0.51432,                0.13383,                0.95071,               0.006139,               0.006139,               0.006139
                     41,                0.31887,                0.47545,                0.21773,                0.92037,                0.98989,                0.96059,                0.98034,                0.97421,                0.98989,                0.96059,                0.98034,                0.97078,                0.15457,                0.46399,                0.14332,                 0.9541,                0.00604,                0.00604,                0.00604
                     42,                0.31481,                0.49097,                0.21657,                0.91828,                0.98837,                0.96292,                0.97847,                0.97164,                0.98725,                0.96183,                0.97795,                0.96883,                0.14901,                0.46771,                0.13796,                0.95355,               0.005941,               0.005941,               0.005941
